region,anio,periodo,informalidad_laboral_regional_real
Caribe,2022,I,87.43423241742597
Caribe,2022,II,87.89861964707158
Caribe,2023,I,86.84867339812763
Caribe,2023,II,86.47026907624269
Caribe,2024,I,86.09170034713124
Caribe,2024,II,86.14452629580785
Caribe,2025,I,85.98787255293905
Caribe,2025,II,86.20495029898986
Caribe,2026,I,85.45304940255708
Central,2022,I,76.98113867414318
Central,2022,II,77.17463221934159
Central,2023,I,76.55841530556788
Central,2023,II,76.30553445277198
Central,2024,I,76.21940122538606
Central,2024,II,75.36215005151848
Central,2025,I,75.4813639159205
Central,2025,II,75.13918327590054
Central,2026,I,75.50855863280078
Oriental,2022,I,71.67105139653108
Oriental,2022,II,71.66987404812778
Oriental,2023,I,70.82003020564531
Oriental,2023,II,70.06197781914014
Oriental,2024,I,70.9388828088433
Oriental,2024,II,71.34453314353152
Oriental,2025,I,71.70912506324333
Oriental,2025,II,69.92817535411177
Oriental,2026,I,70.15261354370904
Orinoquía/Amazonía/Insular,2022,I,79.72555514565248
Orinoquía/Amazonía/Insular,2022,II,80.82181382951656
Orinoquía/Amazonía/Insular,2023,I,82.09537490058358
Orinoquía/Amazonía/Insular,2023,II,81.47738540291165
Orinoquía/Amazonía/Insular,2024,I,80.16638365812514
Orinoquía/Amazonía/Insular,2024,II,82.51265711994103
Orinoquía/Amazonía/Insular,2025,I,81.45301504635414
Orinoquía/Amazonía/Insular,2025,II,80.98830319118191
Orinoquía/Amazonía/Insular,2026,I,81.15577657676866
Pacífica,2022,I,83.72226132964474
Pacífica,2022,II,83.00681149770341
Pacífica,2023,I,84.0003479507147
Pacífica,2023,II,83.36352673048806
Pacífica,2024,I,83.76560277048257
Pacífica,2024,II,83.52060576488431
Pacífica,2025,I,82.39647583729105
Pacífica,2025,II,82.71376786235903
Pacífica,2026,I,83.62796283214065
