region,anio,td_dispersion_regional,td_dispersion_regional_obs
Caribe,2007,1.8550163649124798,1
Caribe,2008,2.266093783778838,1
Caribe,2009,1.853297988282497,1
Caribe,2010,2.042161626584776,1
Caribe,2011,1.7561295163962187,1
Caribe,2012,1.4538071370159245,1
Caribe,2013,0.9403461272525566,1
Caribe,2014,1.4094730900946533,1
Caribe,2015,1.1473893148620167,1
Caribe,2016,1.666778900807937,1
Caribe,2017,2.016847939188702,1
Caribe,2018,2.5720383890607055,1
Caribe,2019,3.193139830118839,1
Caribe,2020,2.553490348549991,1
Caribe,2021,3.4524486492907585,1
Caribe,2022,2.2767265823249048,1
Caribe,2023,2.16355912523793,1
Caribe,2024,0.886736396251542,1
Caribe,2025,1.206983844560968,1
Central,2007,1.2609365033759912,1
Central,2008,2.261477180036275,1
Central,2009,2.6821220640738446,1
Central,2010,3.104684657882396,1
Central,2011,3.527449125464865,1
Central,2012,2.2396703792448047,1
Central,2013,2.5056062104600927,1
Central,2014,2.0546182332227816,1
Central,2015,1.816804586542557,1
Central,2016,2.0363278424032822,1
Central,2017,1.9742145890614122,1
Central,2018,2.4481328819261585,1
Central,2019,3.1705249024341753,1
Central,2020,3.265778470099836,1
Central,2021,1.5464596473347672,1
Central,2022,2.3853984175384633,1
Central,2023,1.9419072292894952,1
Central,2024,2.033373423208742,1
Central,2025,1.5967749554618254,1
Oriental,2007,0.49212219764743365,1
Oriental,2008,1.3770174977199559,1
Oriental,2009,1.230786470808368,1
Oriental,2010,1.0220235537869777,1
Oriental,2011,1.6875194810715821,1
Oriental,2012,1.9679381529120077,1
Oriental,2013,1.9744862910233298,1
Oriental,2014,2.0069918443001065,1
Oriental,2015,2.378028097447456,1
Oriental,2016,2.086177567784281,1
Oriental,2017,2.3314696902936194,1
Oriental,2018,2.178417977858995,1
Oriental,2019,2.142909337292054,1
Oriental,2020,3.3127089542235,1
Oriental,2021,2.128847568939798,1
Oriental,2022,0.9119165165710683,1
Oriental,2023,0.5640685371319792,1
Oriental,2024,1.582422566018292,1
Oriental,2025,0.9762528367196491,1
Orinoquía/Amazonía/Insular,2007,1.4519605277581995,0
Orinoquía/Amazonía/Insular,2008,1.8463433460122207,0
Orinoquía/Amazonía/Insular,2009,1.9636329572439692,0
Orinoquía/Amazonía/Insular,2010,2.978183810756815,0
Orinoquía/Amazonía/Insular,2011,2.158429813298161,0
Orinoquía/Amazonía/Insular,2012,1.808055339465449,0
Orinoquía/Amazonía/Insular,2013,1.6812727418617004,0
Orinoquía/Amazonía/Insular,2014,1.6002240521234792,0
Orinoquía/Amazonía/Insular,2015,1.6577275509255402,0
Orinoquía/Amazonía/Insular,2016,2.0192609042902845,0
Orinoquía/Amazonía/Insular,2017,2.2195216660339314,0
Orinoquía/Amazonía/Insular,2018,2.4992218210910173,0
Orinoquía/Amazonía/Insular,2019,2.9526420501180555,0
Orinoquía/Amazonía/Insular,2020,3.6823928462929416,0
Orinoquía/Amazonía/Insular,2021,2.7336393043358473,0
Orinoquía/Amazonía/Insular,2022,2.2207749935396404,0
Orinoquía/Amazonía/Insular,2023,2.464082363228216,0
Orinoquía/Amazonía/Insular,2024,2.17841392386849,0
Orinoquía/Amazonía/Insular,2025,1.72829839697808,0
Pacífica,2007,2.199767045096893,1
Pacífica,2008,1.4807849225138145,1
Pacífica,2009,2.0883253058111673,1
Pacífica,2010,5.7438654047731115,1
Pacífica,2011,1.6626211302599798,1
Pacífica,2012,1.5708056886890591,1
Pacífica,2013,1.304652338710822,1
Pacífica,2014,0.9298130408763751,1
Pacífica,2015,1.288688204850131,1
Pacífica,2016,2.2877593061656385,1
Pacífica,2017,2.5555544455919907,1
Pacífica,2018,2.79829803551821,1
Pacífica,2019,3.3039941306271534,1
Pacífica,2020,5.597593612298438,1
Pacífica,2021,3.806801351778065,1
Pacífica,2022,3.309058457724124,1
Pacífica,2023,5.18679456125346,1
Pacífica,2024,4.211123309995384,1
Pacífica,2025,3.133181951169878,1
