feature,importance
periodo_II,0.20317104
informalidad_empresarial_nacional,0.07392294
tgp_roll4,0.05993815
td_lag1,0.0578297
to_lag1,0.052410435
informalidad_laboral_regional_real_lag1,0.043951616
td_dispersion_regional,0.043934066
year_trend,0.043433
tgp_lag1,0.04239002
td_lag2,0.042000934
informalidad_empresarial_lag1,0.040810186
td_dispersion_regional_lag1,0.040758375
to_lag2,0.034660768
td_roll4,0.034414276
informalidad_laboral_regional_real,0.031155322
ts_lag1,0.028810909
ts_lag2,0.027980978
tgp_lag2,0.027616877
region_Orinoquía/Amazonía/Insular,0.026177973
ts_roll4,0.0203429
to_roll4,0.019856006
informalidad_laboral_nacional,0.004433547
informalidad_laboral_lag1,0.0
informalidad_micronegocios_lag1,0.0
informalidad_micronegocios_nacional,0.0
region_Central,0.0
region_Oriental,0.0
region_Pacífica,0.0
